epoch,train_loss,l_normal,l_scl,val_loss,lr
0,4.763659,0.781454,3.982205,0.729869,1.00e-08
1,0.151714,0.079581,0.072133,0.037335,1.00e-05
2,0.067559,0.038414,0.029145,0.028470,2.00e-05
3,0.055407,0.029553,0.025855,0.024611,1.92e-05
4,0.050071,0.025559,0.024513,0.021136,1.71e-05
5,0.048616,0.023008,0.025608,0.018924,1.39e-05
6,0.045393,0.020947,0.024446,0.017519,1.01e-05
7,0.044094,0.019448,0.024646,0.016531,6.24e-06
8,0.041830,0.018386,0.023443,0.015875,3.01e-06
9,0.041031,0.017857,0.023174,0.015577,8.57e-07